supply_structure,pricing_structure,producer_npv,consumer_npv,total_volume_mwh,average_strike_eur_mwh,capture_rate,volume_value,profile_value,path,mode,label
Baseload,FixedEscalated,811162.6522835908,-811162.6522835908,446055.23629868706,71.17379605473555,0.739749731681995,1334660.6923443526,-523498.04006076185,121,joint,Baseload / FixedEscalated
Baseload,IndexedWithFloorCap,-130407.96424914151,130407.96424914151,446055.23629868706,67.0669243715205,0.739749731681995,-33907.53351512199,-96500.43073401952,121,joint,Baseload / IndexedWithFloorCap
Baseload,Floating,0.0,-0.0,446055.23629868706,67.16867588570129,0.739749731681995,0.0,0.0,121,joint,Baseload / Floating
PayAsProduced,FixedFlat,4706563.783842897,-4706563.783842897,446129.6138986748,64.99999999999999,0.7400335987986648,5071938.23901072,-365374.45516782254,122,joint,PayAsProduced / FixedFlat
PayAsProduced,FixedEscalated,6550187.5234584315,-6550187.5234584315,446129.6138986748,71.10157721365893,0.7400335987986648,7105558.4103402,-555370.8868817687,122,joint,PayAsProduced / FixedEscalated
PayAsProduced,IndexedWithFloorCap,2873081.3414073577,-2873081.3414073577,446129.6138986748,59.06618930157061,0.7400335987986648,3094233.6707290444,-221152.32932168664,122,joint,PayAsProduced / IndexedWithFloorCap
PayAsProduced,Floating,0.0,-0.0,446129.6138986748,49.78239780243635,0.7400335987986648,0.0,0.0,122,joint,PayAsProduced / Floating
PayAsNominated,FixedFlat,1666872.4764226545,-1666872.4764226545,446129.6138986748,64.99999999999999,0.7400335987986648,1973644.8244590932,-306772.3480364387,122,joint,PayAsNominated / FixedFlat
PayAsNominated,FixedEscalated,3510520.1218091473,-3510520.1218091473,446129.6138986748,71.10157721365893,0.7400335987986648,4007264.9957885756,-496744.8739794283,122,joint,PayAsNominated / FixedEscalated
PayAsNominated,IndexedWithFloorCap,571320.3175732805,-571320.3175732805,446129.6138986748,61.16462189284784,0.7400335987986648,695335.6250082138,-124015.30743493326,122,joint,PayAsNominated / IndexedWithFloorCap
PayAsNominated,Floating,0.0,-0.0,446129.6138986748,59.07836996379573,0.7400335987986648,0.0,0.0,122,joint,PayAsNominated / Floating
Baseload,FixedFlat,-1079715.0104194847,1079715.0104194847,446129.6138986747,65.00000000000003,0.7400335987986648,-756729.8399297148,-322985.1704897699,122,joint,Baseload / FixedFlat
Baseload,FixedEscalated,779883.8060290313,-779883.8060290313,446129.6138986747,71.17379605473559,0.7400335987986648,1300960.4507837647,-521076.6447547334,122,joint,Baseload / FixedEscalated
Baseload,IndexedWithFloorCap,-135963.01885963808,135963.01885963808,446129.6138986747,67.14427979127976,0.7400335987986648,-42053.8661898578,-93909.15266978028,122,joint,Baseload / IndexedWithFloorCap
Baseload,Floating,0.0,-0.0,446129.6138986747,67.27045621070549,0.7400335987986648,0.0,0.0,122,joint,Baseload / Floating
PayAsProduced,FixedFlat,4790803.082628471,-4790803.082628471,443704.54531802173,65.0,0.7370602188171832,5154076.0727860145,-363272.9901575437,123,joint,PayAsProduced / FixedFlat
PayAsProduced,FixedEscalated,6628587.797623413,-6628587.797623413,443704.54531802173,71.11738593137002,0.7370602188171832,7181882.216889608,-553294.419266195,123,joint,PayAsProduced / FixedEscalated
PayAsProduced,IndexedWithFloorCap,2897176.9740578635,-2897176.9740578635,443704.54531802173,58.871311488308315,0.7370602188171832,3122523.321540478,-225346.34748261468,123,joint,PayAsProduced / IndexedWithFloorCap
PayAsProduced,Floating,0.0,-0.0,443704.54531802173,49.451436569243725,0.7370602188171832,0.0,0.0,123,joint,PayAsProduced / Floating
PayAsNominated,FixedFlat,1736903.3643507692,-1736903.3643507692,443704.54531802173,65.0,0.7370602188171832,2045799.612112273,-308896.2477615038,123,joint,PayAsNominated / FixedFlat
PayAsNominated,FixedEscalated,3574711.9613244645,-3574711.9613244645,443704.54531802173,71.11738593137002,0.7370602188171832,4073605.7562158667,-498893.7948914021,123,joint,PayAsNominated / FixedEscalated
PayAsNominated,IndexedWithFloorCap,585475.5655484619,-585475.5655484619,443704.54531802173,60.973349028386856,0.7370602188171832,711035.4380021755,-125559.87245371367,123,joint,PayAsNominated / IndexedWithFloorCap
PayAsNominated,Floating,0.0,-0.0,443704.54531802173,58.828332258520604,0.7370602188171832,0.0,0.0,123,joint,PayAsNominated / Floating
Baseload,FixedFlat,-1016634.0980224754,1016634.0980224754,443704.54531802196,64.99999999999996,0.7370602188171832,-693727.717981048,-322906.3800414273,123,joint,Baseload / FixedFlat
Baseload,FixedEscalated,832856.3227448398,-832856.3227448398,443704.54531802196,71.17379605473555,0.7370602188171832,1352777.3926474066,-519921.0699025667,123,joint,Baseload / FixedEscalated
Baseload,IndexedWithFloorCap,-126556.66899836175,126556.66899836175,443704.54531802196,66.99820855607456,0.7370602188171832,-31356.627998012547,-95200.04100034921,123,joint,Baseload / IndexedWithFloorCap
Baseload,Floating,0.0,-0.0,443704.54531802196,67.09280369058878,0.7370602188171832,0.0,0.0,123,joint,Baseload / Floating
PayAsProduced,FixedFlat,4650058.707986178,-4650058.707986178,441650.9088700084,65.0,0.7403497555633292,5036721.023990467,-386662.3160042893,124,joint,PayAsProduced / FixedFlat
